tpartner_id,company_id,order_type,id,order_creation_date,submitted_date
1,ACPG,PO,Order_1,2021-03-19T14:49:58Z,2021-03-19T14:49:58Z
1,ACPG,PO,Order_2,2021-04-05T07:49:58Z,2021-04-05T07:49:58Z
1,ACPG,PO,Order_3,2021-04-22T01:49:58Z,2021-04-22T01:49:58Z
1,ACPG,PO,Order_4,2021-05-08T19:49:58Z,2021-05-08T19:49:58Z
1,ACPG,PO,Order_5,2021-05-25T13:49:58Z,2021-05-25T13:49:58Z
1,ACPG,PO,Order_6,2021-06-11T07:49:58Z,2021-06-11T07:49:58Z
1,ACPG,PO,Order_7,2021-06-28T01:49:58Z,2021-06-28T01:49:58Z
1,ACPG,PO,Order_8,2021-07-14T19:49:58Z,2021-07-14T19:49:58Z
1,ACPG,PO,Order_9,2021-07-31T13:49:58Z,2021-07-31T13:49:58Z
1,ACPG,PO,Order_10,2021-08-17T07:49:58Z,2021-08-17T07:49:58Z
1,ACPG,PO,Order_11,2021-09-03T01:49:58Z,2021-09-03T01:49:58Z
1,ACPG,PO,Order_12,2021-09-19T20:49:58Z,2021-09-19T20:49:58Z
1,ACPG,PO,Order_13,2021-10-06T14:49:58Z,2021-10-06T14:49:58Z
1,ACPG,PO,Order_14,2021-10-23T08:49:58Z,2021-10-23T08:49:58Z
1,ACPG,PO,Order_15,2021-11-09T02:49:58Z,2021-11-09T02:49:58Z
1,ACPG,PO,Order_16,2021-11-25T20:49:58Z,2021-11-25T20:49:58Z
1,ACPG,PO,Order_17,2021-12-12T14:49:58Z,2021-12-12T14:49:58Z
1,ACPG,PO,Order_18,2021-12-29T08:49:58Z,2021-12-29T08:49:58Z
1,ACPG,PO,Order_19,2022-01-15T02:49:58Z,2022-01-15T02:49:58Z
1,ACPG,PO,Order_20,2022-01-31T20:49:58Z,2022-01-31T20:49:58Z
1,ACPG,PO,Order_21,2022-02-17T14:49:58Z,2022-02-17T14:49:58Z
1,ACPG,PO,Order_22,2022-03-06T08:49:58Z,2022-03-06T08:49:58Z
1,ACPG,PO,Order_23,2022-03-23T02:49:58Z,2022-03-23T02:49:58Z
1,ACPG,PO,Order_24,2022-04-08T19:49:58Z,2022-04-08T19:49:58Z
1,ACPG,PO,Order_25,2022-04-25T13:49:58Z,2022-04-25T13:49:58Z
1,ACPG,PO,Order_26,2022-05-12T07:49:58Z,2022-05-12T07:49:58Z
1,ACPG,PO,Order_27,2022-05-29T01:49:58Z,2022-05-29T01:49:58Z
1,ACPG,PO,Order_28,2022-06-14T19:49:58Z,2022-06-14T19:49:58Z
1,ACPG,PO,Order_29,2022-07-01T13:49:58Z,2022-07-01T13:49:58Z
1,ACPG,PO,Order_30,2022-07-18T07:49:58Z,2022-07-18T07:49:58Z
1,ACPG,PO,Order_31,2022-08-04T01:49:58Z,2022-08-04T01:49:58Z
1,ACPG,PO,Order_32,2022-08-20T19:49:58Z,2022-08-20T19:49:58Z
1,ACPG,PO,Order_33,2022-09-06T13:49:58Z,2022-09-06T13:49:58Z
1,ACPG,PO,Order_34,2022-09-23T08:49:58Z,2022-09-23T08:49:58Z
1,ACPG,PO,Order_35,2022-10-10T02:49:58Z,2022-10-10T02:49:58Z
1,ACPG,PO,Order_36,2022-10-26T20:49:58Z,2022-10-26T20:49:58Z
1,ACPG,PO,Order_37,2022-11-12T14:49:58Z,2022-11-12T14:49:58Z
1,ACPG,PO,Order_38,2022-11-29T08:49:58Z,2022-11-29T08:49:58Z
1,ACPG,PO,Order_39,2022-12-16T02:49:58Z,2022-12-16T02:49:58Z
1,ACPG,PO,Order_40,2023-01-01T20:49:58Z,2023-01-01T20:49:58Z
1,ACPG,PO,Order_41,2023-01-18T14:49:58Z,2023-01-18T14:49:58Z
1,ACPG,PO,Order_42,2023-02-04T08:49:58Z,2023-02-04T08:49:58Z
1,ACPG,PO,Order_43,2023-02-21T02:49:58Z,2023-02-21T02:49:58Z
1,ACPG,PO,Order_44,2023-03-09T20:49:58Z,2023-03-09T20:49:58Z
1,ACPG,PO,Order_45,2023-03-26T14:49:58Z,2023-03-26T14:49:58Z
1,ACPG,PO,Order_46,2023-04-12T07:49:58Z,2023-04-12T07:49:58Z
1,ACPG,PO,Order_47,2023-04-29T01:49:58Z,2023-04-29T01:49:58Z
1,ACPG,PO,Order_48,2023-05-15T19:49:58Z,2023-05-15T19:49:58Z
1,ACPG,PO,Order_49,2023-06-01T13:49:58Z,2023-06-01T13:49:58Z
1,ACPG,PO,Order_50,2023-06-18T07:49:58Z,2023-06-18T07:49:58Z
1,ACPG,PO,Order_51,2023-07-05T01:49:58Z,2023-07-05T01:49:58Z
1,ACPG,PO,Order_52,2023-07-21T19:49:58Z,2023-07-21T19:49:58Z
1,ACPG,PO,Order_53,2023-08-07T13:49:58Z,2023-08-07T13:49:58Z
1,ACPG,PO,Order_54,2023-08-24T07:49:58Z,2023-08-24T07:49:58Z
1,ACPG,PO,Order_55,2023-09-10T02:49:58Z,2023-09-10T02:49:58Z
1,ACPG,PO,Order_56,2023-09-26T20:49:58Z,2023-09-26T20:49:58Z
1,ACPG,PO,Order_57,2023-10-13T14:49:58Z,2023-10-13T14:49:58Z
1,ACPG,PO,Order_58,2023-10-30T08:49:58Z,2023-10-30T08:49:58Z
1,ACPG,PO,Order_59,2023-11-16T02:49:58Z,2023-11-16T02:49:58Z
1,ACPG,PO,Order_60,2023-12-02T20:49:58Z,2023-12-02T20:49:58Z
1,ACPG,PO,Order_61,2023-12-19T14:49:58Z,2023-12-19T14:49:58Z
1,ACPG,PO,Order_62,2024-01-05T08:49:58Z,2024-01-05T08:49:58Z
1,ACPG,PO,Order_63,2024-01-22T02:49:58Z,2024-01-22T02:49:58Z
1,ACPG,PO,Order_64,2024-02-07T20:49:58Z,2024-02-07T20:49:58Z
1,ACPG,PO,Order_65,2024-02-24T14:49:58Z,2024-02-24T14:49:58Z
1,ACPG,PO,Order_66,2021-03-19T14:49:58Z,2021-03-19T14:49:58Z
1,ACPG,PO,Order_67,2021-04-05T07:49:58Z,2021-04-05T07:49:58Z
1,ACPG,PO,Order_68,2021-04-22T01:49:58Z,2021-04-22T01:49:58Z
1,ACPG,PO,Order_69,2021-05-08T19:49:58Z,2021-05-08T19:49:58Z
1,ACPG,PO,Order_70,2021-05-25T13:49:58Z,2021-05-25T13:49:58Z
1,ACPG,PO,Order_71,2021-06-11T07:49:58Z,2021-06-11T07:49:58Z
1,ACPG,PO,Order_72,2021-06-28T01:49:58Z,2021-06-28T01:49:58Z
1,ACPG,PO,Order_73,2021-07-14T19:49:58Z,2021-07-14T19:49:58Z
1,ACPG,PO,Order_74,2021-07-31T13:49:58Z,2021-07-31T13:49:58Z
1,ACPG,PO,Order_75,2021-08-17T07:49:58Z,2021-08-17T07:49:58Z
1,ACPG,PO,Order_76,2021-09-03T01:49:58Z,2021-09-03T01:49:58Z
1,ACPG,PO,Order_77,2021-09-19T20:49:58Z,2021-09-19T20:49:58Z
1,ACPG,PO,Order_78,2021-10-06T14:49:58Z,2021-10-06T14:49:58Z
1,ACPG,PO,Order_79,2021-10-23T08:49:58Z,2021-10-23T08:49:58Z
1,ACPG,PO,Order_80,2021-11-09T02:49:58Z,2021-11-09T02:49:58Z
1,ACPG,PO,Order_81,2021-11-25T20:49:58Z,2021-11-25T20:49:58Z
1,ACPG,PO,Order_82,2021-12-12T14:49:58Z,2021-12-12T14:49:58Z
1,ACPG,PO,Order_83,2021-12-29T08:49:58Z,2021-12-29T08:49:58Z
1,ACPG,PO,Order_84,2022-01-15T02:49:58Z,2022-01-15T02:49:58Z
1,ACPG,PO,Order_85,2022-01-31T20:49:58Z,2022-01-31T20:49:58Z
1,ACPG,PO,Order_86,2022-02-17T14:49:58Z,2022-02-17T14:49:58Z
1,ACPG,PO,Order_87,2022-03-06T08:49:58Z,2022-03-06T08:49:58Z
1,ACPG,PO,Order_88,2022-03-23T02:49:58Z,2022-03-23T02:49:58Z
1,ACPG,PO,Order_89,2022-04-08T19:49:58Z,2022-04-08T19:49:58Z
1,ACPG,PO,Order_90,2022-04-25T13:49:58Z,2022-04-25T13:49:58Z
1,ACPG,PO,Order_91,2022-05-12T07:49:58Z,2022-05-12T07:49:58Z
1,ACPG,PO,Order_92,2022-05-29T01:49:58Z,2022-05-29T01:49:58Z
1,ACPG,PO,Order_93,2022-06-14T19:49:58Z,2022-06-14T19:49:58Z
1,ACPG,PO,Order_94,2022-07-01T13:49:58Z,2022-07-01T13:49:58Z
1,ACPG,PO,Order_95,2022-07-18T07:49:58Z,2022-07-18T07:49:58Z
1,ACPG,PO,Order_96,2022-08-04T01:49:58Z,2022-08-04T01:49:58Z
1,ACPG,PO,Order_97,2022-08-20T19:49:58Z,2022-08-20T19:49:58Z
1,ACPG,PO,Order_98,2022-09-06T13:49:58Z,2022-09-06T13:49:58Z
1,ACPG,PO,Order_99,2022-09-23T08:49:58Z,2022-09-23T08:49:58Z
1,ACPG,PO,Order_100,2022-10-10T02:49:58Z,2022-10-10T02:49:58Z
1,ACPG,PO,Order_101,2022-10-26T20:49:58Z,2022-10-26T20:49:58Z
1,ACPG,PO,Order_102,2022-11-12T14:49:58Z,2022-11-12T14:49:58Z
1,ACPG,PO,Order_103,2022-11-29T08:49:58Z,2022-11-29T08:49:58Z
1,ACPG,PO,Order_104,2022-12-16T02:49:58Z,2022-12-16T02:49:58Z
1,ACPG,PO,Order_105,2023-01-01T20:49:58Z,2023-01-01T20:49:58Z
1,ACPG,PO,Order_106,2023-01-18T14:49:58Z,2023-01-18T14:49:58Z
1,ACPG,PO,Order_107,2023-02-04T08:49:58Z,2023-02-04T08:49:58Z
1,ACPG,PO,Order_108,2023-02-21T02:49:58Z,2023-02-21T02:49:58Z
1,ACPG,PO,Order_109,2023-03-09T20:49:58Z,2023-03-09T20:49:58Z
1,ACPG,PO,Order_110,2023-03-26T14:49:58Z,2023-03-26T14:49:58Z
1,ACPG,PO,Order_111,2023-04-12T07:49:58Z,2023-04-12T07:49:58Z
1,ACPG,PO,Order_112,2023-04-29T01:49:58Z,2023-04-29T01:49:58Z
1,ACPG,PO,Order_113,2023-05-15T19:49:58Z,2023-05-15T19:49:58Z
1,ACPG,PO,Order_114,2023-06-01T13:49:58Z,2023-06-01T13:49:58Z
1,ACPG,PO,Order_115,2023-06-18T07:49:58Z,2023-06-18T07:49:58Z
1,ACPG,PO,Order_116,2023-07-05T01:49:58Z,2023-07-05T01:49:58Z
1,ACPG,PO,Order_117,2023-07-21T19:49:58Z,2023-07-21T19:49:58Z
1,ACPG,PO,Order_118,2023-08-07T13:49:58Z,2023-08-07T13:49:58Z
1,ACPG,PO,Order_119,2023-08-24T07:49:58Z,2023-08-24T07:49:58Z
1,ACPG,PO,Order_120,2023-09-10T02:49:58Z,2023-09-10T02:49:58Z
1,ACPG,PO,Order_121,2023-09-26T20:49:58Z,2023-09-26T20:49:58Z
1,ACPG,PO,Order_122,2023-10-13T14:49:58Z,2023-10-13T14:49:58Z
1,ACPG,PO,Order_123,2023-10-30T08:49:58Z,2023-10-30T08:49:58Z
1,ACPG,PO,Order_124,2023-11-16T02:49:58Z,2023-11-16T02:49:58Z
1,ACPG,PO,Order_125,2023-12-02T20:49:58Z,2023-12-02T20:49:58Z
1,ACPG,PO,Order_126,2023-12-19T14:49:58Z,2023-12-19T14:49:58Z
1,ACPG,PO,Order_127,2024-01-05T08:49:58Z,2024-01-05T08:49:58Z
1,ACPG,PO,Order_128,2024-01-22T02:49:58Z,2024-01-22T02:49:58Z
1,ACPG,PO,Order_129,2024-02-07T20:49:58Z,2024-02-07T20:49:58Z
1,ACPG,PO,Order_130,2024-02-24T14:49:58Z,2024-02-24T14:49:58Z
1,ACPG,PO,Order_131,2021-03-19T14:49:58Z,2021-03-19T14:49:58Z
1,ACPG,PO,Order_132,2021-04-05T07:49:58Z,2021-04-05T07:49:58Z
1,ACPG,PO,Order_133,2021-04-22T01:49:58Z,2021-04-22T01:49:58Z
1,ACPG,PO,Order_134,2021-05-08T19:49:58Z,2021-05-08T19:49:58Z
1,ACPG,PO,Order_135,2021-05-25T13:49:58Z,2021-05-25T13:49:58Z
1,ACPG,PO,Order_136,2021-06-11T07:49:58Z,2021-06-11T07:49:58Z
1,ACPG,PO,Order_137,2021-06-28T01:49:58Z,2021-06-28T01:49:58Z
1,ACPG,PO,Order_138,2021-07-14T19:49:58Z,2021-07-14T19:49:58Z
1,ACPG,PO,Order_139,2021-07-31T13:49:58Z,2021-07-31T13:49:58Z
1,ACPG,PO,Order_140,2021-08-17T07:49:58Z,2021-08-17T07:49:58Z
1,ACPG,PO,Order_141,2021-09-03T01:49:58Z,2021-09-03T01:49:58Z
1,ACPG,PO,Order_142,2021-09-19T20:49:58Z,2021-09-19T20:49:58Z
1,ACPG,PO,Order_143,2021-10-06T14:49:58Z,2021-10-06T14:49:58Z
1,ACPG,PO,Order_144,2021-10-23T08:49:58Z,2021-10-23T08:49:58Z
1,ACPG,PO,Order_145,2021-11-09T02:49:58Z,2021-11-09T02:49:58Z
1,ACPG,PO,Order_146,2021-11-25T20:49:58Z,2021-11-25T20:49:58Z
1,ACPG,PO,Order_147,2021-12-12T14:49:58Z,2021-12-12T14:49:58Z
1,ACPG,PO,Order_148,2021-12-29T08:49:58Z,2021-12-29T08:49:58Z
1,ACPG,PO,Order_149,2022-01-15T02:49:58Z,2022-01-15T02:49:58Z
1,ACPG,PO,Order_150,2022-01-31T20:49:58Z,2022-01-31T20:49:58Z
1,ACPG,PO,Order_151,2022-02-17T14:49:58Z,2022-02-17T14:49:58Z
1,ACPG,PO,Order_152,2022-03-06T08:49:58Z,2022-03-06T08:49:58Z
1,ACPG,PO,Order_153,2022-03-23T02:49:58Z,2022-03-23T02:49:58Z
1,ACPG,PO,Order_154,2022-04-08T19:49:58Z,2022-04-08T19:49:58Z
1,ACPG,PO,Order_155,2022-04-25T13:49:58Z,2022-04-25T13:49:58Z
1,ACPG,PO,Order_156,2022-05-12T07:49:58Z,2022-05-12T07:49:58Z
1,ACPG,PO,Order_157,2022-05-29T01:49:58Z,2022-05-29T01:49:58Z
1,ACPG,PO,Order_158,2022-06-14T19:49:58Z,2022-06-14T19:49:58Z
1,ACPG,PO,Order_159,2022-07-01T13:49:58Z,2022-07-01T13:49:58Z
1,ACPG,PO,Order_160,2022-07-18T07:49:58Z,2022-07-18T07:49:58Z
1,ACPG,PO,Order_161,2022-08-04T01:49:58Z,2022-08-04T01:49:58Z
1,ACPG,PO,Order_162,2022-08-20T19:49:58Z,2022-08-20T19:49:58Z
1,ACPG,PO,Order_163,2022-09-06T13:49:58Z,2022-09-06T13:49:58Z
1,ACPG,PO,Order_164,2022-09-23T08:49:58Z,2022-09-23T08:49:58Z
1,ACPG,PO,Order_165,2022-10-10T02:49:58Z,2022-10-10T02:49:58Z
1,ACPG,PO,Order_166,2022-10-26T20:49:58Z,2022-10-26T20:49:58Z
1,ACPG,PO,Order_167,2022-11-12T14:49:58Z,2022-11-12T14:49:58Z
1,ACPG,PO,Order_168,2022-11-29T08:49:58Z,2022-11-29T08:49:58Z
1,ACPG,PO,Order_169,2022-12-16T02:49:58Z,2022-12-16T02:49:58Z
1,ACPG,PO,Order_170,2023-01-01T20:49:58Z,2023-01-01T20:49:58Z
1,ACPG,PO,Order_171,2023-01-18T14:49:58Z,2023-01-18T14:49:58Z
1,ACPG,PO,Order_172,2023-02-04T08:49:58Z,2023-02-04T08:49:58Z
1,ACPG,PO,Order_173,2023-02-21T02:49:58Z,2023-02-21T02:49:58Z
1,ACPG,PO,Order_174,2023-03-09T20:49:58Z,2023-03-09T20:49:58Z
1,ACPG,PO,Order_175,2023-03-26T14:49:58Z,2023-03-26T14:49:58Z
1,ACPG,PO,Order_176,2023-04-12T07:49:58Z,2023-04-12T07:49:58Z
1,ACPG,PO,Order_177,2023-04-29T01:49:58Z,2023-04-29T01:49:58Z
1,ACPG,PO,Order_178,2023-05-15T19:49:58Z,2023-05-15T19:49:58Z
1,ACPG,PO,Order_179,2023-06-01T13:49:58Z,2023-06-01T13:49:58Z
1,ACPG,PO,Order_180,2023-06-18T07:49:58Z,2023-06-18T07:49:58Z
1,ACPG,PO,Order_181,2023-07-05T01:49:58Z,2023-07-05T01:49:58Z
1,ACPG,PO,Order_182,2023-07-21T19:49:58Z,2023-07-21T19:49:58Z
1,ACPG,PO,Order_183,2023-08-07T13:49:58Z,2023-08-07T13:49:58Z
1,ACPG,PO,Order_184,2023-08-24T07:49:58Z,2023-08-24T07:49:58Z
1,ACPG,PO,Order_185,2023-09-10T02:49:58Z,2023-09-10T02:49:58Z
1,ACPG,PO,Order_186,2023-09-26T20:49:58Z,2023-09-26T20:49:58Z
1,ACPG,PO,Order_187,2023-10-13T14:49:58Z,2023-10-13T14:49:58Z
1,ACPG,PO,Order_188,2023-10-30T08:49:58Z,2023-10-30T08:49:58Z
1,ACPG,PO,Order_189,2023-11-16T02:49:58Z,2023-11-16T02:49:58Z
1,ACPG,PO,Order_190,2023-12-02T20:49:58Z,2023-12-02T20:49:58Z
1,ACPG,PO,Order_191,2023-12-19T14:49:58Z,2023-12-19T14:49:58Z
1,ACPG,PO,Order_192,2024-01-05T08:49:58Z,2024-01-05T08:49:58Z
1,ACPG,PO,Order_193,2024-01-22T02:49:58Z,2024-01-22T02:49:58Z
1,ACPG,PO,Order_194,2024-02-07T20:49:58Z,2024-02-07T20:49:58Z
1,ACPG,PO,Order_195,2024-02-24T14:49:58Z,2024-02-24T14:49:58Z
